"approv";-0.0079870873867026
"purchas";-0.003503840204649762
"is410";-0.001036248125409773
"arm";-5.92000544814129E-4
"boom";-5.92000544814129E-4
"fi";-4.1093991925517006E-4
"interest";-3.5132663976522436E-4
"att3";-3.2855093986494774E-4
"5.65";-3.2444037071624227E-4
"2.78";-3.2444037071624227E-4
"meant";-2.8959069151851535E-4
"3x";-2.8959069151851535E-4
"gather";-2.8959069151851535E-4
"baromet";-2.8959069151851535E-4
"streamlin";-2.8959069151851535E-4
"roam";-2.8959069151851535E-4
"password";-2.346826422219473E-4
"tv";-1.9518092755677492E-4
"3840";-1.3328227812542945E-4
"signal";-1.294542087024776E-4
"few";-1.008275768424821E-4
"xbr";-9.609322961973923E-5
"avi";-8.495795986420199E-5
"6p";-7.773653076965925E-5
"cabl";-7.760406355082606E-5
"exactli";-5.6499442838905956E-5
"4.87";-5.481180627711635E-5
"led";-5.413591542619681E-5
"sure";-5.308593966318355E-5
"headphon";-5.103993232268449E-5
"galaxi";-4.864714901828011E-5
"xperia";-4.835192413012715E-5
"gorilla";-4.6826455105555647E-5
"0.27";-4.4784565454919294E-5
"minim";-4.264841032077367E-5
"advantag";-4.058263253248055E-5
"got";-4.012812046217509E-5
"stuff";-3.751942466638687E-5
"assist";-3.751942466638687E-5
"lte";-3.262555168138129E-5
"increas";-3.176413818697932E-5
"becaus";-3.130469398567037E-5
"command";-3.055769504964776E-5
"1080";-2.9791288867033124E-5
"momentum";-2.97831760648834E-5
"wma";-2.4701791322878283E-5
"place";-2.366758999598191E-5
"5.7";-2.0531246689647724E-5
"a8";-2.0124086411641567E-5
"machin";-1.9092677677015266E-5
"below";-1.9092677677015266E-5
"cx";-1.7672561970303452E-5
"gpx";-1.7279236309887167E-5
"compon";-1.6250992284460317E-5
"4.7";-1.5666861965704293E-5
"everywher";-1.5249962605613303E-5
"widest";-1.5238102166460107E-5
"6";-1.5192758375938843E-5
"stereo";-1.51519905731438E-5
"ohm";-1.5106736822129827E-5
"replac";-1.4595745964234236E-5
"webo";-1.4156609314648627E-5
"xbr55x850c";-1.3411990257200523E-5
"excel";-1.3115716777223362E-5
"oz";-1.2892414695506692E-5
"chassi";-1.2834388178303423E-5
"electron";-1.2703989815603599E-5
"v4.0";-1.2485481118405112E-5
"cushion";-1.2288119653485582E-5
"akg";-1.2230974091356069E-5
"700";-1.1618448362775424E-5
"health";-1.138684928238644E-5
"unlock";-1.1213005389810264E-5
"io";-1.0897910383785882E-5
"3gb";-1.063854700425869E-5
"shortcut";-1.0265409538246844E-5
"thank";-1.000517726465119E-5
"send";-9.86826816099106E-6
"uhdtv";-9.85913474282096E-6
"sony’";-9.81635375092261E-6
"lpcm";-9.726157337670502E-6
"drive";-9.678271561300734E-6
"via";-9.584499063983371E-6
"start";-9.566455210818173E-6
"16gb";-9.484040141765813E-6
"highli";-9.30883166318393E-6
"gb";-9.241229169898785E-6
"3g";-9.164510021459414E-6
"a57";-9.158184765397829E-6
"catch";-9.067414429024426E-6
"atsc";-9.04097909464223E-6
"dlna";-9.020921873681442E-6
"2.0";-8.825263912383549E-6
"headset";-8.759909699604459E-6
"sleev";-8.698858162809603E-6
"bui";-8.664527204601432E-6
"divx";-8.658490448870251E-6
"special";-8.15805480840464E-6
"clean";-8.111284738590335E-6
"19.6";-8.076179416741143E-6
"head";-7.749305867314586E-6
"htc";-7.655558264495904E-6
"pearl";-7.599505406796769E-6
"canal";-7.3069432258224265E-6
"infinit";-7.261589552691481E-6
"littl";-6.984244917057988E-6
"5.5";-6.8531880057615905E-6
"transpar";-6.852159984417377E-6
"symmetr";-6.852159984417377E-6
"element";-6.852159984417377E-6
"enjoy";-6.852159984417377E-6
"finest";-6.852159984417377E-6
"facilit";-6.852159984417377E-6
"000";-6.524299587275066E-6
"audiophil";-6.463761635492216E-6
"bundl";-6.46271971259469E-6
"angl";-6.205021428671784E-6
"g";-6.196374741290495E-6
"detail";-6.192526674451467E-6
"thread";-6.098226662718496E-6
"protect";-6.071053367693555E-6
"longer";-5.972674692093891E-6
"b";-5.890220436445881E-6
"headband";-5.836321022658492E-6
"microsd";-5.8144450022154515E-6
"hd650";-5.70696224874137E-6
"shutter";-5.673892462481622E-6
"sony'";-5.657563819701651E-6
"mai";-5.631361081556013E-6
"just";-5.535626809143442E-6
"acoust";-5.506573808534067E-6
"326";-5.3914389999097645E-6
"store";-5.330822169445326E-6
"driver";-5.283251687431987E-6
"cortex";-5.228825915838431E-6
"quick";-5.127836692132957E-6
"slo";-5.1247719527677815E-6
"mo";-5.1247719527677815E-6
"main";-4.972974375739604E-6
"smart";-4.972454966881558E-6
"2";-4.8256908986221356E-6
"1080p";-4.818562691608769E-6
"a2dp";-4.705567926529836E-6
"oper";-4.696888359944414E-6
"earbud";-4.5937252175845544E-6
"top";-4.574461590299214E-6
"understand";-4.553451262485024E-6
"snug";-4.553451262485024E-6
"versatil";-4.553451262485024E-6
"overal";-4.553451262485024E-6
"everyon";-4.539471857403502E-6
"switch";-4.451602804093034E-6
"redesign";-4.414696354232525E-6
"over";-4.413836659877081E-6
"mountabl";-4.398454258455579E-6
"seat";-4.385584431644713E-6
"capacit";-4.326818637753857E-6
"edit";-4.30916782804394E-6
"instant";-4.2551938352596776E-6
"42.8";-4.185217924203019E-6
"stage";-4.1532884913373855E-6
"stai";-4.13114651661578E-6
"blur";-3.978290803865653E-6
"meet";-3.970696044724303E-6
"print";-3.870396971074341E-6
"download";-3.816996046537098E-6
"take";-3.754938771119399E-6
"shell";-3.733471500989334E-6
"memori";-3.6016666659456956E-6
"visual";-3.588544772006267E-6
"further";-3.559683308608898E-6
"temper";-3.4707515876123156E-6
"window";-3.443648946650102E-6
"big";-3.4132621914155677E-6
"17";-3.351737004973071E-6
"sunlight";-3.311346771762146E-6
"pad";-3.306453277343406E-6
"equal";-3.2841168509595633E-6
"friend";-3.135340870452988E-6
"transmit";-3.1339074884720763E-6
"49.5";-3.086064499589064E-6
"futur";-3.0764757616291716E-6
"comput";-3.0515409323627132E-6
"subwoof";-3.026377015611804E-6
"mhz";-3.0018214090404838E-6
"movi";-2.9708063123236924E-6
"effortlessli";-2.8774586994777945E-6
"48.4";-2.7632989482301307E-6
"topaz";-2.7632281085485233E-6
"model";-2.737218522266794E-6
"480";-2.7310615888899784E-6
"industri";-2.7112565603216004E-6
"monitor";-2.6287519514313134E-6
"keyboard";-2.60607135462625E-6
"crack";-2.604561473220377E-6
"clip";-2.6011250791072526E-6
"outer";-2.498948157072145E-6
"robust";-2.4749920985402537E-6
"8.3";-2.471252201939726E-6
"earcup";-2.4193650487706343E-6
"14";-2.3670443432917063E-6
"find";-2.3437525066668434E-6
"small";-2.285100328006627E-6
"sharp";-2.264191123149185E-6
"interfac";-2.2610483146612292E-6
"heavi";-2.2533079352219842E-6
"back";-2.234893437476934E-6
"recycl";-2.2143874037042796E-6
"simpl";-2.191255941434787E-6
"35.5";-2.1882913003131765E-6
"glonass";-2.1787275145061975E-6
"cell";-2.1404576921817584E-6
"handl";-2.1370834256866436E-6
"backlight";-2.0960882096595897E-6
"24";-2.0920169928403823E-6
"breathtak";-2.017751571958169E-6
"press";-2.0172080159852872E-6
"1gb";-1.9881586066326784E-6
"brush";-1.975272722574241E-6
"date";-1.902512541427267E-6
"24p";-1.8760542736584234E-6
"lifestyl";-1.854906471266768E-6
"fill";-1.8270353052587943E-6
"beat";-1.8059341424357763E-6
"discov";-1.8046922671992517E-6
"leather";-1.7593366138206334E-6
"36.8";-1.7422503924657405E-6
"sleep";-1.6676802218563476E-6
"cpu";-1.6394207926907104E-6
"durabl";-1.6130694502325925E-6
"duofol";-1.602281353478091E-6
"8.0mp";-1.5953676716119747E-6
"4x";-1.5830222777331402E-6
"walk";-1.5806383097055565E-6
"goal";-1.5806383097055565E-6
"resist";-1.541312676696808E-6
"beauti";-1.5344100967005516E-6
"after";-1.519769632376232E-6
"imped";-1.4723648844611423E-6
"shure";-1.461020983362744E-6
"exterior";-1.4441417132940622E-6
"60";-1.4365164594158604E-6
"uniqu";-1.3829218103726844E-6
"cool";-1.3826236549418227E-6
"choos";-1.3608217676460647E-6
"ir";-1.3294922799438058E-6
"down";-1.316585100422877E-6
"luxuri";-1.2999273081030153E-6
"4.3";-1.2562434986507567E-6
